"APPLIC";"NM_PAGINA_WEB";"DS_PAGINA_WEB";"TI_HELP_ON_LINE";"ENTRY_MENU"
"SACER_IAM";"/amministrazioneEntiConvenzionati/dettaglioAccordo";"Dettaglio accordo";"HELP_PAGINA";"Menu principale - Enti - Gestione enti convenzionati"
"SACER_IAM";"/amministrazioneEntiConvenzionati/dettaglioAmbiente";"Dettaglio ambiente";"HELP_PAGINA";"Menu principale - Amministrazione sistema - Gestione ambienti"
"SACER_IAM";"/amministrazioneEntiConvenzionati/dettaglioAnagrafica";"Dettaglio anagrafica ente convenzionato";"HELP_PAGINA";"Menu principale - Enti - Gestione enti convenzionati"
"SACER_IAM";"/amministrazioneEntiConvenzionati/dettaglioAnagraficaWizard";"Wizard creazione anagrafica ente convenzionato";"HELP_PAGINA";"Menu principale - Enti - Gestione enti convenzionati"
"SACER_IAM";"/amministrazioneEntiConvenzionati/dettaglioAnnualita";"Dettaglio annualità";"HELP_PAGINA";"Menu principale - Enti - Gestione enti convenzionati"
"SACER_IAM";"/amministrazioneEntiConvenzionati/dettaglioAppartenenzaCollegamento";"Dettaglio appartenenza collegamento";"HELP_PAGINA";"Menu principale - Enti - Gestione enti convenzionati"
"SACER_IAM";"/amministrazioneEntiConvenzionati/dettaglioAppartenenzaEnte";"Dettaglio appartenenza ente convenzionato";"HELP_PAGINA";"Menu principale - Enti - Gestione enti convenzionati"
"SACER_IAM";"/amministrazioneEntiConvenzionati/dettaglioArchivistaRiferimento";"Dettaglio archivista di riferimento";"HELP_PAGINA";"Menu principale - Enti - Gestione enti convenzionati"
"SACER_IAM";"/amministrazioneEntiConvenzionati/dettaglioCollegamentoEnte";"Dettaglio collegamento ente";"HELP_PAGINA";"Menu principale - Enti - Gestione enti convenzionati"
"SACER_IAM";"/amministrazioneEntiConvenzionati/dettaglioDisciplinareTecnico";"Dettaglio disciplinare tecnico";"HELP_PAGINA";"Menu principale - Enti - Gestione enti convenzionati"
"SACER_IAM";"/amministrazioneEntiConvenzionati/dettaglioEnteConvenzionato";"Dettaglio ente convenzionato";"HELP_PAGINA";"Menu principale - Enti - Gestione enti convenzionati"
"SACER_IAM";"/amministrazioneEntiConvenzionati/dettaglioEnteConvenzionatoWizard";"Wizard creazione ente convenzionato";"HELP_PAGINA";"Menu principale - Enti - Gestione enti convenzionati"
"SACER_IAM";"/amministrazioneEntiConvenzionati/dettaglioFattura";"Dettaglio fattura";"HELP_PAGINA";"Menu principale - Fatturazione - Gestione fatturazione"
"SACER_IAM";"/amministrazioneEntiConvenzionati/dettaglioIncasso";"Dettaglio incasso";"HELP_PAGINA";"Menu principale - Fatturazione - Gestione fatturazione"
"SACER_IAM";"/amministrazioneEntiConvenzionati/dettaglioModuloInformazioni";"Dettaglio modulo informazioni";"HELP_PAGINA";"Menu principale - Enti - Gestione enti convenzionati"
"SACER_IAM";"/amministrazioneEntiConvenzionati/dettaglioReferenteEnte";"Dettaglio referente ente";"HELP_PAGINA";"Menu principale - Enti - Gestione enti convenzionati"
"SACER_IAM";"/amministrazioneEntiConvenzionati/dettaglioServizioErogato";"Dettaglio servizio erogato";"HELP_PAGINA";"Menu principale - Enti - Gestione enti convenzionati"
"SACER_IAM";"/amministrazioneEntiConvenzionati/dettaglioServizioFatturato";"Dettaglio servizio fatturato";"HELP_PAGINA";"Menu principale - Fatturazione - Gestione fatturazione"
"SACER_IAM";"/amministrazioneEntiConvenzionati/dettaglioSollecito";"Dettaglio sollecito";"HELP_PAGINA";"Menu principale - Fatturazione - Gestione fatturazione"
"SACER_IAM";"/amministrazioneEntiConvenzionati/dettaglioTariffa";"Dettaglio tariffa";"HELP_PAGINA";"Menu principale - Fatturazione - Gestione rimborso costi"
"SACER_IAM";"/amministrazioneEntiConvenzionati/dettaglioTariffaWizard";"Creazione tariffa";"HELP_PAGINA";"Menu principale - Fatturazione - Gestione rimborso costi"
"SACER_IAM";"/amministrazioneEntiConvenzionati/dettaglioTariffario";"Dettaglio tariffario";"HELP_PAGINA";"Menu principale - Fatturazione - Gestione rimborso costi"
"SACER_IAM";"/amministrazioneEntiConvenzionati/dettaglioTipoAccordo";"Dettaglio tipo accordo";"HELP_PAGINA";"Menu principale - Fatturazione - Gestione tipo accordo"
"SACER_IAM";"/amministrazioneEntiConvenzionati/dettaglioTipoServizio";"Dettaglio tipo servizio";"HELP_PAGINA";"Menu principale - Fatturazione - Gestione tipo servizio"
"SACER_IAM";"/amministrazioneEntiConvenzionati/dettaglioVariazioneAccordo";"Dettaglio gestione accordo";"HELP_PAGINA";"Menu principale - Enti - Gestione enti convenzionati"
"SACER_IAM";"/amministrazioneEntiConvenzionati/ricercaAccordi";"Gestione accordi";"HELP_PAGINA";"Menu principale - Enti - Gestione accordi"
"SACER_IAM";"/amministrazioneEntiConvenzionati/ricercaAmbienti";"Gestione ambienti";"HELP_PAGINA";"Menu principale - Amministrazione sistema - Gestione ambienti"
"SACER_IAM";"/amministrazioneEntiConvenzionati/ricercaClasseEnteConvenzionato";"Gestione classi ente convenzionato";"HELP_PAGINA";"Menu principale - Amministrazione sistema - Gestione classi ente convenzionato"
"SACER_IAM";"/amministrazioneEntiConvenzionati/ricercaCollegamenti";"Gestione collegamenti";"HELP_PAGINA";"Menu principale - Enti - Gestione collegamenti"
"SACER_IAM";"/amministrazioneEntiConvenzionati/ricercaEntiConvenzionati";"Gestione enti convenzionati";"HELP_PAGINA";"Menu principale - Enti - Gestione enti convenzionati"
"SACER_IAM";"/amministrazioneEntiConvenzionati/ricercaFatture";"Gestione fatturazione";"HELP_PAGINA";"Menu principale - Fatturazione - Gestione fatturazione"
"SACER_IAM";"/amministrazioneEntiConvenzionati/ricercaTariffari";"Gestione tariffari";"HELP_PAGINA";"Menu principale - Fatturazione - Gestione rimborso costi"
"SACER_IAM";"/amministrazioneEntiConvenzionati/ricercaTipiAccordo";"Gestione tipo accordo";"HELP_PAGINA";"Menu principale - Fatturazione - Gestione tipo accordo"
"SACER_IAM";"/amministrazioneEntiConvenzionati/ricercaTipiServizio";"Gestione tipo servizio";"HELP_PAGINA";"Menu principale - Fatturazione - Gestione tipo servizio"
"SACER_IAM";"/amministrazioneEntiNonConvenzionati/dettaglioAccordoVigil";"Dettaglio accordo di vigilanza";"HELP_PAGINA";"Menu principale - Enti - Gestione enti non convenzionati"
"SACER_IAM";"/amministrazioneEntiNonConvenzionati/dettaglioEnteNonConvenzionato";"Dettaglio ente non convenzionato";"HELP_PAGINA";"Menu principale - Enti - Gestione enti non convenzionati"
"SACER_IAM";"/amministrazioneEntiNonConvenzionati/dettaglioEnteSupt";"Dettaglio ente supportato";"HELP_PAGINA";"Menu principale - Enti - Gestione enti non convenzionati"
"SACER_IAM";"/amministrazioneEntiNonConvenzionati/dettaglioEnteVigilato";"Dettaglio ente vigilato";"HELP_PAGINA";"Menu principale - Enti - Gestione enti non convenzionati"
"SACER_IAM";"/amministrazioneEntiNonConvenzionati/ricercaEntiNonConvenzionati";"Gestione enti non convenzionati";"HELP_PAGINA";"Menu principale - Enti - Gestione enti non convenzionati"
"SACER_IAM";"/amministrazioneSistema/allineaComponenti";"Gestione allineamento componenti";"HELP_PAGINA";"Menu principale - Amministrazione sistema - Gestione allineamento componenti"
"SACER_IAM";"/amministrazioneSistema/dettaglioHelpOnLine";"Dettaglio help on line";"HELP_PAGINA";"Menu principale - Amministrazione sistema - Gestione help on line"
"SACER_IAM";"/amministrazioneSistema/dettaglioNews";"Dettaglio news";"HELP_PAGINA";"Menu principale - Amministrazione sistema - Gestione news"
"SACER_IAM";"/amministrazioneSistema/dettaglioNoteRilascio";"Dettaglio note di rilascio";"HELP_PAGINA";"Menu principale - Amministrazione sistema - Gestione note di rilascio"
"SACER_IAM";"/amministrazioneSistema/gestioneAmbitoTerritoriale";"Gestione ambito territoriale";"HELP_PAGINA";"Menu principale - Amministrazione sistema - Gestione ambito territoriale"
"SACER_IAM";"/amministrazioneSistema/gestioneHelpOnLine";"Gestione help on line";"HELP_PAGINA";"Menu principale - Amministrazione sistema - Gestione help on line"
"SACER_IAM";"/amministrazioneSistema/gestioneJobRicerca";"Gestione Job";"HELP_PAGINA";"Menu principale - Amministrazione sistema - Gestione Job"
"SACER_IAM";"/amministrazioneSistema/registroParametri";"Gestione parametri";"HELP_PAGINA";"Menu principale - Amministrazione sistema - Gestione parametri"
"SACER_IAM";"/amministrazioneSistema/ricercaNews";"Gestione news";"HELP_PAGINA";"Menu principale - Amministrazione sistema - Gestione news"
"SACER_IAM";"/amministrazioneSistema/ricercaNoteRilascio";"Gestione note di rilascio";"HELP_PAGINA";"Menu principale - Amministrazione sistema - Gestione note di rilascio"
"SACER_IAM";"/amministrazioneUtenti/dettaglioAzione";"Dettaglio azione";"HELP_PAGINA";"Menu principale - Amministrazione utenti - Gestione richieste"
"SACER_IAM";"/amministrazioneUtenti/dettaglioRichiesta";"Dettaglio richiesta";"HELP_PAGINA";"Menu principale - Amministrazione utenti - Gestione richieste"
"SACER_IAM";"/amministrazioneUtenti/dettaglioRuolo";"Dettaglio ruolo";"HELP_PAGINA";"Menu principale - Amministrazione sistema - Gestione ruoli"
"SACER_IAM";"/amministrazioneUtenti/dettaglioRuoloWizard";"Wizard creazione ruolo";"HELP_PAGINA";"Menu principale - Amministrazione sistema - Gestione ruoli"
"SACER_IAM";"/amministrazioneUtenti/dettaglioSistemaVersante";"Dettaglio sistema versante";"HELP_PAGINA";"Menu principale - Amministrazione sistema - Gestione sistemi versanti"
"SACER_IAM";"/amministrazioneUtenti/dettaglioUtente";"Dettaglio utente";"HELP_PAGINA";"Menu principale - Amministrazione utenti - Gestione utenti"
"SACER_IAM";"/amministrazioneUtenti/dettaglioUtenteInserisciPassword";"Inserimento password";"HELP_PAGINA";"Menu principale - Amministrazione utenti - Gestione utenti"
"SACER_IAM";"/amministrazioneUtenti/dettaglioUtenteWizard";"Wizard creazione utente";"HELP_PAGINA";"Menu principale - Amministrazione utenti - Gestione utenti"
"SACER_IAM";"/amministrazioneUtenti/listaRuoliOrganizzazione";"Lista ruoli su organizzazioni";"HELP_PAGINA";"Menu principale - Amministrazione sistema - Gestione ruoli"
"SACER_IAM";"/amministrazioneUtenti/replicaUtentiList";"Repliche utenti";"HELP_PAGINA";"Menu principale - Monitoraggio - Repliche utenti"
"SACER_IAM";"/amministrazioneUtenti/ricercaRichieste";"Ricerca richieste";"HELP_PAGINA";"Menu principale - Amministrazione utenti - Gestione richieste"
"SACER_IAM";"/amministrazioneUtenti/ricercaRuoli";"Gestione ruoli";"HELP_PAGINA";"Menu principale - Amministrazione sistema - Gestione ruoli"
"SACER_IAM";"/amministrazioneUtenti/ricercaSistemiVersanti";"Gestione sistemi versanti";"HELP_PAGINA";"Menu principale - Amministrazione sistema - Gestione sistemi versanti"
"SACER_IAM";"/amministrazioneUtenti/ricercaUtenti";"Ricerca utenti";"HELP_PAGINA";"Menu principale - Amministrazione utenti - Gestione utenti"
"SACER_IAM";"/amministrazioneUtenti/schedulazioniJobList";"Schedulazioni job";"HELP_PAGINA";"Menu principale - Monitoraggio - Schedulazioni Job"
"SACER_IAM";"/amministrazioneUtenti/schedulazioniReplicaUtentiList";"Schedulazioni repliche utenti";"HELP_PAGINA";"Menu principale - Monitoraggio - Schedulazioni repliche utenti"
"SACER_IAM";"/associazioneUtente";"Home - Associazione utente";"HELP_PAGINA";"Menu principale"
"SACER_IAM";"/confirmDeletePage";"(Home) - Conferma cancellazione";"HELP_PAGINA";"Menu principale"
"SACER_IAM";"/downloadPage";"Home - Download";"HELP_PAGINA";"Menu principale"
"SACER_IAM";"/home";"Home - Home";"HELP_PAGINA";"Menu principale"
"SACER_IAM";"/infoPrivacy";"Info privacy";"HELP_PAGINA";"Menu principale - Informazioni su - Info privacy"
"SACER_IAM";"/informazioni/dettaglioNoteRilascioCorrente";"Dettaglio note di rilascio";"HELP_PAGINA";"Menu principale - Informazioni su - Note sulla versione corrente"
"SACER_IAM";"/logEventi/DettaglioEventoOggetto";"Dettaglio evento per oggetto";"HELP_PAGINA";"Menu principale - Logging - Log eventi"
"SACER_IAM";"/logEventi/DettaglioTransazione";"Dettaglio transazione";"HELP_PAGINA";"Menu principale - Logging - Log eventi"
"SACER_IAM";"/logEventi/DettaglioValori";"Dettaglio valori";"HELP_PAGINA";"Menu principale - Logging - Log eventi"
"SACER_IAM";"/logEventi/DettaglioXml";"Dettaglio foto oggetto";"HELP_PAGINA";"Menu principale - Logging - Log eventi"
"SACER_IAM";"/logEventi/GestioneLogEventi";"Lista eventi per oggetto";"HELP_PAGINA";"Menu principale - Logging - Log eventi"
"SACER_IAM";"/logEventi/RicercaEventi";"Ricerca eventi di log";"HELP_PAGINA";"Menu principale - Logging - Log eventi"
"SACER_IAM";"/logging/ricercaAccessiFalliti";"Log accessi";"HELP_PAGINA";"Menu principale - Logging - Log accessi"
"SACER_IAM";"/login/informativa";"Home - Informativa sui cookies";"HELP_PAGINA";"Menu principale"
"SACER_IAM";"/modificaPassword";"Home - Modifica password";"HELP_PAGINA";"Menu principale"
